# GASP-derived aerodynamics data converted from GASP_aero_ground.txt
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)

Mach, Angle of Attack (deg),        Hob,   Delta CL,   Delta CD
 0.0,                  14.0,        2.0,        0.0,     -7e-05
 0.0,                  14.0,        3.0,        0.0,       -0.0
 0.0,                  16.0,       0.05,    0.22485,   -0.06687
 0.0,                  16.0,        0.1,    0.21557,   -0.04249
 0.0,                  16.0,        0.2,    0.15392,   -0.02015
 0.0,                  16.0,        0.3,    0.10301,   -0.01112
 0.0,                  16.0,        0.4,    0.06865,   -0.00678
 0.0,                  16.0,        0.5,    0.04588,   -0.00443
 0.0,                  16.0,        0.6,    0.03073,   -0.00306
 0.0,                  16.0,        0.8,    0.01366,   -0.00164
 0.0,                  16.0,        1.0,    0.00575,   -0.00098
 0.0,                  16.0,        1.5,        0.0,   -0.00035
 0.0,                  16.0,        2.0,        0.0,     -8e-05
 0.0,                  16.0,        3.0,        0.0,       -0.0
 0.0,                  18.0,       0.05,    0.15099,   -0.08524
 0.0,                  18.0,        0.1,    0.15099,   -0.05762
 0.0,                  18.0,        0.2,    0.15099,   -0.02604
 0.0,                  18.0,        0.3,    0.11029,   -0.01364
 0.0,                  18.0,        0.4,    0.07364,   -0.00833
 0.0,                  18.0,        0.5,    0.04916,   -0.00546
 0.0,                  18.0,        0.6,     0.0328,   -0.00378
 0.0,                  18.0,        0.8,    0.01435,   -0.00205
 0.0,                  18.0,        1.0,    0.00583,   -0.00124
 0.0,                  18.0,        1.5,        0.0,   -0.00042
 0.0,                  18.0,        2.0,        0.0,     -9e-05
 0.0,                  18.0,        3.0,        0.0,       -0.0
 0.1,                  -2.0,       0.05,   -0.02752,   -0.00188
 0.1,                  -2.0,        0.1,   -0.01777,   -0.00143
 0.1,                  -2.0,        0.2,   -0.01037,    -0.0009
 0.1,                  -2.0,        0.3,   -0.00658,   -0.00059
 0.1,                  -2.0,        0.4,   -0.00433,   -0.00039
 0.1,                  -2.0,        0.5,   -0.00292,   -0.00027
 0.1,                  -2.0,        0.6,     -0.002,   -0.00019
 0.1,                  -2.0,        0.8,   -0.00097,     -9e-05
 0.1,                  -2.0,        1.0,   -0.00049,     -5e-05
 0.1,                  -2.0,        1.5,     -9e-05,     -1e-05
 0.1,                  -2.0,        2.0,     -1e-05,       -0.0
 0.1,                  -2.0,        3.0,        0.0,       -0.0
 0.1,                   0.0,       0.05,    0.03844,   -0.00453
 0.1,                   0.0,        0.1,    0.02537,   -0.00323
 0.1,                   0.0,        0.2,    0.01502,   -0.00184
 0.1,                   0.0,        0.3,    0.00958,   -0.00114
 0.1,                   0.0,        0.4,    0.00631,   -0.00074
 0.1,                   0.0,        0.5,    0.00425,    -0.0005
 0.1,                   0.0,        0.6,    0.00291,   -0.00034
 0.1,                   0.0,        0.8,     0.0014,   -0.00017
 0.1,                   0.0,        1.0,     0.0007,     -9e-05
 0.1,                   0.0,        1.5,    0.00012,     -2e-05
 0.1,                   0.0,        2.0,      1e-05,     -1e-05
 0.1,                   0.0,        3.0,        0.0,       -0.0
 0.1,                   2.0,       0.05,    0.09493,   -0.00831
 0.1,                   2.0,        0.1,    0.06423,   -0.00571
 0.1,                   2.0,        0.2,    0.03865,   -0.00306
 0.1,                   2.0,        0.3,    0.02476,   -0.00183
 0.1,                   2.0,        0.4,    0.01633,   -0.00116
 0.1,                   2.0,        0.5,    0.01099,   -0.00077
 0.1,                   2.0,        0.6,     0.0075,   -0.00052
 0.1,                   2.0,        0.8,     0.0036,   -0.00026
 0.1,                   2.0,        1.0,    0.00176,   -0.00014
 0.1,                   2.0,        1.5,    0.00028,     -3e-05
 0.1,                   2.0,        2.0,      1e-05,     -1e-05
 0.1,                   2.0,        3.0,        0.0,       -0.0
 0.1,                   4.0,       0.05,    0.14197,    -0.0134
 0.1,                   4.0,        0.1,    0.09881,   -0.00897
 0.1,                   4.0,        0.2,     0.0605,   -0.00462
 0.1,                   4.0,        0.3,    0.03895,   -0.00268
 0.1,                   4.0,        0.4,    0.02573,   -0.00167
 0.1,                   4.0,        0.5,     0.0173,    -0.0011
 0.1,                   4.0,        0.6,    0.01178,   -0.00075
 0.1,                   4.0,        0.8,     0.0056,   -0.00037
 0.1,                   4.0,        1.0,     0.0027,    -0.0002
 0.1,                   4.0,        1.5,    0.00038,     -5e-05
 0.1,                   4.0,        2.0,        0.0,     -2e-05
 0.1,                   4.0,        3.0,        0.0,       -0.0
 0.1,                   6.0,       0.05,    0.17954,   -0.01996
 0.1,                   6.0,        0.1,    0.12911,   -0.01314
 0.1,                   6.0,        0.2,    0.08059,   -0.00657
 0.1,                   6.0,        0.3,    0.05216,   -0.00374
 0.1,                   6.0,        0.4,    0.03449,   -0.00231
 0.1,                   6.0,        0.5,    0.02317,   -0.00151
 0.1,                   6.0,        0.6,    0.01574,   -0.00102
 0.1,                   6.0,        0.8,    0.00742,   -0.00051
 0.1,                   6.0,        1.0,    0.00352,   -0.00028
 0.1,                   6.0,        1.5,    0.00043,     -8e-05
 0.1,                   6.0,        2.0,        0.0,     -3e-05
 0.1,                   6.0,        3.0,        0.0,       -0.0
 0.1,                   8.0,       0.05,    0.20766,   -0.02816
 0.1,                   8.0,        0.1,    0.15512,    -0.0183
 0.1,                   8.0,        0.2,    0.09891,   -0.00896
 0.1,                   8.0,        0.3,    0.06438,   -0.00504
 0.1,                   8.0,        0.4,    0.04263,   -0.00309
 0.1,                   8.0,        0.5,    0.02861,   -0.00201
 0.1,                   8.0,        0.6,    0.01939,   -0.00137
 0.1,                   8.0,        0.8,    0.00905,    -0.0007
 0.1,                   8.0,        1.0,    0.00422,   -0.00039
 0.1,                   8.0,        1.5,    0.00042,   -0.00013
 0.1,                   8.0,        2.0,        0.0,     -4e-05
 0.1,                   8.0,        3.0,        0.0,       -0.0
 0.1,                  10.0,       0.05,    0.22633,   -0.03815
 0.1,                  10.0,        0.1,    0.17685,   -0.02457
 0.1,                  10.0,        0.2,    0.11546,   -0.01187
 0.1,                  10.0,        0.3,    0.07562,   -0.00661
 0.1,                  10.0,        0.4,    0.05014,   -0.00404
 0.1,                  10.0,        0.5,    0.03362,   -0.00263
 0.1,                  10.0,        0.6,    0.02273,   -0.00179
 0.1,                  10.0,        0.8,    0.01049,   -0.00093
 0.1,                  10.0,        1.0,    0.00479,   -0.00053
 0.1,                  10.0,        1.5,    0.00035,   -0.00018
 0.1,                  10.0,        2.0,        0.0,     -5e-05
 0.1,                  10.0,        3.0,        0.0,       -0.0
 0.1,                  12.0,       0.05,    0.23553,   -0.05009
 0.1,                  12.0,        0.1,    0.19429,   -0.03205
 0.1,                  12.0,        0.2,    0.13024,   -0.01534
 0.1,                  12.0,        0.3,    0.08587,    -0.0085
 0.1,                  12.0,        0.4,    0.05703,   -0.00518
 0.1,                  12.0,        0.5,     0.0382,   -0.00337
 0.1,                  12.0,        0.6,    0.02575,   -0.00231
 0.1,                  12.0,        0.8,    0.01175,   -0.00121
 0.1,                  12.0,        1.0,    0.00524,    -0.0007
 0.1,                  12.0,        1.5,    0.00023,   -0.00025
 0.1,                  12.0,        2.0,        0.0,     -6e-05
 0.1,                  12.0,        3.0,        0.0,       -0.0
 0.1,                  14.0,       0.05,    0.23528,   -0.06412
 0.1,                  14.0,        0.1,    0.20745,   -0.04084
 0.1,                  14.0,        0.2,    0.14326,   -0.01943
 0.1,                  14.0,        0.3,    0.09513,   -0.01073
 0.1,                  14.0,        0.4,    0.06329,   -0.00653
 0.1,                  14.0,        0.5,    0.04235,   -0.00427
