#
#  Clean / Free Air Aerodynamics
#  Reference Area = 1370. sqft
#  Altitude  Mach   ALPHA   CLTOT     CD
#    (ft)     (-)   (deg)    (-)     (-)
#
  3000.0    0.20     0.0  0.1086  0.01885
  3000.0    0.20     2.0  0.2896  0.02170
  3000.0    0.20     4.0  0.4706  0.02715
  3000.0    0.20     6.0  0.6517  0.03519
  3000.0    0.20     8.0  0.8327  0.04582
  3000.0    0.20    10.0  1.0137  0.05904
  3000.0    0.20    12.0  1.1947  0.07485
  3000.0    0.20    14.0  1.3757  0.09326
  3000.0    0.20    16.0  1.5568  0.11426
  3000.0    0.20    18.0  1.7378  0.13785
  3000.0    0.20    20.0  1.9188  0.16404
  3000.0    0.40    -2.0 -0.0754  0.01704
  3000.0    0.40     0.0  0.1131  0.01732
  3000.0    0.40     2.0  0.3016  0.02036
  3000.0    0.40     4.0  0.4901  0.02617
  3000.0    0.40     6.0  0.6786  0.03474
  3000.0    0.40     8.0  0.8670  0.04607
  3000.0    0.40    10.0  1.0555  0.06017
  3000.0    0.40    12.0  1.2440  0.07703
  3000.0    0.40    14.0  1.4325  0.09666
  3000.0    0.40    16.0  1.6210  0.11905
  3000.0    0.40    18.0  1.8095  0.14421
  3000.0    0.40    19.8  1.9820  0.16966
  3000.0    0.50    -2.0 -0.0779  0.01654
  3000.0    0.50     0.0  0.1169  0.01683
  3000.0    0.50     2.0  0.3117  0.02006
  3000.0    0.50     4.0  0.5065  0.02623
  3000.0    0.50     6.0  0.7013  0.03533
  3000.0    0.50     8.0  0.8961  0.04737
  3000.0    0.50    10.0  1.0909  0.06234
  3000.0    0.50    12.0  1.2857  0.08025
  3000.0    0.50    14.0  1.4806  0.10109
  3000.0    0.50    16.0  1.6754  0.12487
  3000.0    0.50    18.0  1.8702  0.15159
  3000.0    0.50    19.1  1.9760  0.16733
  3000.0    0.60    -2.0 -0.0814  0.01612
  3000.0    0.60     0.0  0.1221  0.01644
  3000.0    0.60     2.0  0.3257  0.01994
  3000.0    0.60     4.0  0.5293  0.02664
  3000.0    0.60     6.0  0.7329  0.03653
  3000.0    0.60     8.0  0.9365  0.04961
  3000.0    0.60    10.0  1.1401  0.06587
  3000.0    0.60    12.0  1.3436  0.08533
  3000.0    0.60    14.0  1.5472  0.10797
  3000.0    0.60    16.0  1.7508  0.13381
  3000.0    0.60    18.0  1.9544  0.16289
  3000.0    0.60    18.1  1.9677  0.16492
  3000.0    0.70    -2.0 -0.0863  0.01575
  3000.0    0.70     0.0  0.1295  0.01611
  3000.0    0.70     2.0  0.3454  0.02003
  3000.0    0.70     4.0  0.5613  0.02753
  3000.0    0.70     6.0  0.7771  0.03859
  3000.0    0.70     8.0  0.9930  0.05322
  3000.0    0.70    10.0  1.2089  0.07157
  3000.0    0.70    12.0  1.4247  0.09458
  3000.0    0.70    14.0  1.6406  0.12346
  3000.0    0.70    16.0  1.8565  0.15942
  3000.0    0.70    16.9  1.9562  0.17876
  3000.0    0.70    16.9  1.9562  0.17876
  3000.0    0.75    -2.0 -0.0896  0.01558
  3000.0    0.75     0.0  0.1343  0.01597
  3000.0    0.75     2.0  0.3582  0.02018
  3000.0    0.75     4.0  0.5822  0.02822
  3000.0    0.75     6.0  0.8061  0.04024
  3000.0    0.75     8.0  1.0300  0.05722
  3000.0    0.75    10.0  1.2539  0.08052
  3000.0    0.75    12.0  1.4778  0.11149
  3000.0    0.75    14.0  1.7017  0.15146
  3000.0    0.75    16.0  1.9256  0.20179
  3000.0    0.75    16.2  1.9488  0.20767
  3000.0    0.75    16.2  1.9488  0.20767
  3000.0    0.80    -2.0 -0.0935  0.01543
  3000.0    0.80     0.0  0.1402  0.01584
  3000.0    0.80     2.0  0.3740  0.02050
  3000.0    0.80     4.0  0.6077  0.03034
  3000.0    0.80     6.0  0.8414  0.04690
  3000.0    0.80     8.0  1.0751  0.07169
  3000.0    0.80    10.0  1.3089  0.10626
  3000.0    0.80    12.0  1.5426  0.15212
  3000.0    0.80    14.0  1.7763  0.21082
  3000.0    0.80    15.4  1.9399  0.26036
  3000.0    0.80    15.4  1.9399  0.26036
  3000.0    0.80    15.4  1.9399  0.26036
  3000.0    0.85    -2.0 -0.0984  0.01530
  3000.0    0.85     0.0  0.1476  0.01644
  3000.0    0.85     2.0  0.3936  0.02454
  3000.0    0.85     4.0  0.6396  0.04140
  3000.0    0.85     6.0  0.8855  0.06878
  3000.0    0.85     8.0  1.1315  0.10849
  3000.0    0.85    10.0  1.3775  0.16229
  3000.0    0.85    12.0  1.6235  0.23198
  3000.0    0.85    14.0  1.8695  0.31934
  3000.0    0.85    14.5  1.9290  0.34333
  3000.0    0.85    14.5  1.9290  0.34333
  3000.0    0.85    14.5  1.9290  0.34333
  3000.0    0.90    -2.0 -0.1047  0.01724
  3000.0    0.90     0.0  0.1571  0.02352
  3000.0    0.90     2.0  0.4188  0.04102
  3000.0    0.90     4.0  0.6806  0.07188
  3000.0    0.90     6.0  0.9424  0.11826
  3000.0    0.90     8.0  1.2041  0.18231
  3000.0    0.90    10.0  1.4659  0.26617
  3000.0    0.90    12.0  1.7277  0.37200
  3000.0    0.90    13.4  1.9152  0.46255
  3000.0    0.90    13.4  1.9152  0.46255
  3000.0    0.90    13.4  1.9152  0.46255
  3000.0    0.90    13.4  1.9152  0.46255
  6000.0    0.00    -2.0 -0.0715  0.00363
  6000.0    0.00     0.0  0.1072  0.00384
  6000.0    0.00     2.0  0.2860  0.00621
  6000.0    0.00     4.0  0.4647  0.01072
  6000.0    0.00     6.0  0.6434  0.01737
  6000.0    0.00     8.0  0.8222  0.02618
  6000.0    0.00    10.0  1.0009  0.03713
  6000.0    0.00    12.0  1.1797  0.05023
  6000.0    0.00    14.0  1.3584  0.06548
  6000.0    0.00    16.0  1.5371  0.08287
  6000.0    0.00    18.0  1.7159  0.10241
  6000.0    0.00    20.0  1.8946  0.12410
  6000.0    0.20    -2.0 -0.0724  0.01878
  6000.0    0.20     0.0  0.1086  0.01904
  6000.0    0.20     2.0  0.2896  0.02190
  6000.0    0.20     4.0  0.4706  0.02735
  6000.0    0.20     6.0  0.6517  0.03540
  6000.0    0.20     8.0  0.8327  0.04605
  6000.0    0.20    10.0  1.0137  0.05930
  6000.0    0.20    12.0  1.1947  0.07515
  6000.0    0.20    14.0  1.3757  0.09359
  6000.0    0.20    16.0  1.5568  0.11463
  6000.0    0.20    18.0  1.7378  0.13827
  6000.0    0.20    20.0  1.9188  0.16450
  6000.0    0.40    -2.0 -0.0754  0.01720
  6000.0    0.40     0.0  0.1131  0.01748
  6000.0    0.40     2.0  0.3016  0.02053
  6000.0    0.40     4.0  0.4901  0.02634
  6000.0    0.40     6.0  0.6786  0.03493
  6000.0    0.40     8.0  0.8670  0.04628
  6000.0    0.40    10.0  1.0555  0.06040
  6000.0    0.40    12.0  1.2440  0.07729
  6000.0    0.40    14.0  1.4325  0.09695
  6000.0    0.40    16.0  1.6210  0.11938
  6000.0    0.40    18.0  1.8095  0.14458
  6000.0    0.40    19.8  1.9820  0.17007
  6000.0    0.50    -2.0 -0.0779  0.01669
  6000.0    0.50     0.0  0.1169  0.01699
  6000.0    0.50     2.0  0.3117  0.02022
  6000.0    0.50     4.0  0.5065  0.02640
  6000.0    0.50     6.0  0.7013  0.03551
  6000.0    0.50     8.0  0.8961  0.04757
  6000.0    0.50    10.0  1.0909  0.06256
  6000.0    0.50    12.0  1.2857  0.08050
  6000.0    0.50    14.0  1.4806  0.10138
  6000.0    0.50    16.0  1.6754  0.12520
  6000.0    0.50    18.0  1.8702  0.15195
  6000.0    0.50    19.1  1.9760  0.16772
  6000.0    0.60    -2.0 -0.0814  0.01626
  6000.0    0.60     0.0  0.1221  0.01658
  6000.0    0.60     2.0  0.3257  0.02010
  6000.0    0.60     4.0  0.5293  0.02680
  6000.0    0.60     6.0  0.7329  0.03671
  6000.0    0.60     8.0  0.9365  0.04980
  6000.0    0.60    10.0  1.1401  0.06609
  6000.0    0.60    12.0  1.3436  0.08558
  6000.0    0.60    14.0  1.5472  0.10826
  6000.0    0.60    16.0  1.7508  0.13413
  6000.0    0.60    18.0  1.9544  0.16326
  6000.0    0.60    18.1  1.9677  0.16529
  6000.0    0.70    -2.0 -0.0863  0.01589
  6000.0    0.70     0.0  0.1295  0.01625
  6000.0    0.70     2.0  0.3454  0.02018
  6000.0    0.70     4.0  0.5613  0.02768
  6000.0    0.70     6.0  0.7771  0.03876
  6000.0    0.70     8.0  0.9930  0.05342
  6000.0    0.70    10.0  1.2089  0.07179
  6000.0    0.70    12.0  1.4247  0.09484
  6000.0    0.70    14.0  1.6406  0.12376
  6000.0    0.70    16.0  1.8565  0.15975
  6000.0    0.70    16.9  1.9562  0.17911
  6000.0    0.70    16.9  1.9562  0.17911
  6000.0    0.75    -2.0 -0.0896  0.01572
  6000.0    0.75     0.0  0.1343  0.01610
  6000.0    0.75     2.0  0.3582  0.02032
  6000.0    0.75     4.0  0.5822  0.02838
  6000.0    0.75     6.0  0.8061  0.04041
  6000.0    0.75     8.0  1.0300  0.05742
  6000.0    0.75    10.0  1.2539  0.08075
  6000.0    0.75    12.0  1.4778  0.11175
  6000.0    0.75    14.0  1.7017  0.15176
  6000.0    0.75    16.0  1.9256  0.20213
  6000.0    0.75    16.2  1.9488  0.20801
  6000.0    0.75    16.2  1.9488  0.20801
  6000.0    0.80    -2.0 -0.0935  0.01556
  6000.0    0.80     0.0  0.1402  0.01598
  6000.0    0.80     2.0  0.3740  0.02064
  6000.0    0.80     4.0  0.6077  0.03050
  6000.0    0.80     6.0  0.8414  0.04707
  6000.0    0.80     8.0  1.0751  0.07189
  6000.0    0.80    10.0  1.3089  0.10649
  6000.0    0.80    12.0  1.5426  0.15239
  6000.0    0.80    14.0  1.7763  0.21112
  6000.0    0.80    15.4  1.9399  0.26070
  6000.0    0.80    15.4  1.9399  0.26070
  6000.0    0.80    15.4  1.9399  0.26070
  6000.0    0.85    -2.0 -0.0984  0.01543
  6000.0    0.85     0.0  0.1476  0.01657
  6000.0    0.85     2.0  0.3936  0.02468
  6000.0    0.85     4.0  0.6396  0.04155
  6000.0    0.85     6.0  0.8855  0.06896
  6000.0    0.85     8.0  1.1315  0.10869
  6000.0    0.85    10.0  1.3775  0.16253
  6000.0    0.85    12.0  1.6235  0.23225
  6000.0    0.85    14.0  1.8695  0.31966
  6000.0    0.85    14.5  1.9290  0.34366
  6000.0    0.85    14.5  1.9290  0.34366
  6000.0    0.85    14.5  1.9290  0.34366
  6000.0    0.90    -2.0 -0.1047  0.01737
  6000.0    0.90     0.0  0.1571  0.02365
  6000.0    0.90     2.0  0.4188  0.04116
  6000.0    0.90     4.0  0.6806  0.07204
  6000.0    0.90     6.0  0.9424  0.11844
  6000.0    0.90     8.0  1.2041  0.18252
  6000.0    0.90    10.0  1.4659  0.26642
  6000.0    0.90    12.0  1.7277  0.37229
  6000.0    0.90    13.4  1.9152  0.46287
  6000.0    0.90    13.4  1.9152  0.46287
  6000.0    0.90    13.4  1.9152  0.46287
  6000.0    0.90    13.4  1.9152  0.46287
  9000.0    0.00    -2.0 -0.0715  0.00363
  9000.0    0.00     0.0  0.1072  0.00384
  9000.0    0.00     2.0  0.2860  0.00621
  9000.0    0.00     4.0  0.4647  0.01072
  9000.0    0.00     6.0  0.6434  0.01737
  9000.0    0.00     8.0  0.8222  0.02618
  9000.0    0.00    10.0  1.0009  0.03713
  9000.0    0.00    12.0  1.1797  0.05023
  9000.0    0.00    14.0  1.3584  0.06548
  9000.0    0.00    16.0  1.5371  0.08287
  9000.0    0.00    18.0  1.7159  0.10241
  9000.0    0.00    20.0  1.8946  0.12410
  9000.0    0.20    -2.0 -0.0724  0.01898
  9000.0    0.20     0.0  0.1086  0.01924
  9000.0    0.20     2.0  0.2896  0.02210
  9000.0    0.20     4.0  0.4706  0.02756
  9000.0    0.20     6.0  0.6517  0.03563
  9000.0    0.20     8.0  0.8327  0.04630
  9000.0    0.20    10.0  1.0137  0.05958
  9000.0    0.20    12.0  1.1947  0.07545
  9000.0    0.20    14.0  1.3757  0.09393
  9000.0    0.20    16.0  1.5568  0.11501
  9000.0    0.20    18.0  1.7378  0.13869
  9000.0    0.20    20.0  1.9188  0.16498
  9000.0    0.40    -2.0 -0.0754  0.01737
  9000.0    0.40     0.0  0.1131  0.01765
  9000.0    0.40     2.0  0.3016  0.02070
  9000.0    0.40     4.0  0.4901  0.02653
  9000.0    0.40     6.0  0.6786  0.03512
  9000.0    0.40     8.0  0.8670  0.04650
  9000.0    0.40    10.0  1.0555  0.06064
  9000.0    0.40    12.0  1.2440  0.07756
  9000.0    0.40    14.0  1.4325  0.09726
  9000.0    0.40    16.0  1.6210  0.11973
  9000.0    0.40    18.0  1.8095  0.14497
  9000.0    0.40    19.8  1.9820  0.17050
  9000.0    0.50    -2.0 -0.0779  0.01685
  9000.0    0.50     0.0  0.1169  0.01715
  9000.0    0.50     2.0  0.3117  0.02039
  9000.0    0.50     4.0  0.5065  0.02657
  9000.0    0.50     6.0  0.7013  0.03570
  9000.0    0.50     8.0  0.8961  0.04778
  9000.0    0.50    10.0  1.0909  0.06280
  9000.0    0.50    12.0  1.2857  0.08076
  9000.0    0.50    14.0  1.4806  0.10168
  9000.0    0.50    16.0  1.6754  0.12553
  9000.0    0.50    18.0  1.8702  0.15233
  9000.0    0.50    19.1  1.9760  0.16812
  9000.0    0.60    -2.0 -0.0814  0.01641
  9000.0    0.60     0.0  0.1221  0.01673
  9000.0    0.60     2.0  0.3257  0.02025
  9000.0    0.60     4.0  0.5293  0.02697
  9000.0    0.60     6.0  0.7329  0.03689
  9000.0    0.60     8.0  0.9365  0.05001
  9000.0    0.60    10.0  1.1401  0.06632
  9000.0    0.60    12.0  1.3436  0.08584
  9000.0    0.60    14.0  1.5472  0.10855
  9000.0    0.60    16.0  1.7508  0.13447
  9000.0    0.60    18.0  1.9544  0.16365
  9000.0    0.60    18.1  1.9677  0.16568
  9000.0    0.70    -2.0 -0.0863  0.01603
  9000.0    0.70     0.0  0.1295  0.01639
  9000.0    0.70     2.0  0.3454  0.02033
