# GASP-derived aerodynamics data converted from GASP_aero_flaps.txt
# Incremental Lift and Drag Coeff. for Flaps
# Reference Area = 1370. sqft

Flap Deflection (deg),       Mach, Angle of Attack (deg),   Delta CL,   Delta CD
                 40.0,        0.2,                  18.0,    1.08417,    0.14999
                 40.0,        0.2,                 19.59,     1.0468,    0.15432
                 40.0,        0.3,                  -2.0,     1.0826,    0.04815
                 40.0,        0.3,                   0.0,     1.0826,    0.05637
                 40.0,        0.3,                   2.0,     1.0826,    0.06504
                 40.0,        0.3,                   4.0,     1.0826,    0.07416
                 40.0,        0.3,                   6.0,     1.0826,    0.08373
                 40.0,        0.3,                   8.0,     1.0826,    0.09375
                 40.0,        0.3,                  10.0,     1.0826,    0.10422
                 40.0,        0.3,                  12.0,     1.0826,    0.11513
                 40.0,        0.3,                  14.0,     1.0826,     0.1265
                 40.0,        0.3,                  16.0,     1.0826,    0.13831
                 40.0,        0.3,                  18.0,     1.0826,    0.15058
                 40.0,        0.3,                 19.22,    1.01077,    0.14752
                 40.0,        0.4,                  -2.0,    1.08026,    0.04794
                 40.0,        0.4,                   0.0,    1.08026,    0.05626
                 40.0,        0.4,                   2.0,    1.08026,    0.06505
                 40.0,        0.4,                   4.0,    1.08026,    0.07431
                 40.0,        0.4,                   6.0,    1.08026,    0.08404
                 40.0,        0.4,                   8.0,    1.08026,    0.09424
                 40.0,        0.4,                  10.0,    1.08026,     0.1049
                 40.0,        0.4,                  12.0,    1.08026,    0.11603
                 40.0,        0.4,                  14.0,    1.08026,    0.12763
                 40.0,        0.4,                  16.0,    1.08026,     0.1397
                 40.0,        0.4,                  18.0,    1.08026,    0.15224
                 40.0,        0.4,                 18.69,    0.97289,    0.14059
                 40.0,        0.5,                  -2.0,    1.07697,    0.04767
                 40.0,        0.5,                   0.0,    1.07697,    0.05616
                 40.0,        0.5,                   2.0,    1.07697,    0.06516
                 40.0,        0.5,                   4.0,    1.07697,    0.07465
                 40.0,        0.5,                   6.0,    1.07697,    0.08464
                 40.0,        0.5,                   8.0,    1.07697,    0.09512
                 40.0,        0.5,                  10.0,    1.07697,    0.10611
                 40.0,        0.5,                  12.0,    1.07697,    0.11758
                 40.0,        0.5,                  14.0,    1.07697,    0.12956
                 40.0,        0.5,                  16.0,    1.07697,    0.14204
                 40.0,        0.5,                 17.96,    1.07572,    0.15474
                 40.0,        0.5,                 17.99,    0.96993,    0.13903
