#
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)
#     MACH   ALPHA     HOB   DEL_CL   DEL_CD
#      (-)   (deg)     (-)     (-)      (-)
#
     0.00   18.00    0.80  0.01435 -0.00205
     0.00   18.00    1.00  0.00583 -0.00124
     0.00   18.00    1.50  0.00000 -0.00042
     0.00   18.00    2.00  0.00000 -0.00009
     0.00   18.00    3.00  0.00000 -0.00000
     0.10   -2.00    0.05 -0.02752 -0.00188
     0.10   -2.00    0.10 -0.01777 -0.00143
     0.10   -2.00    0.20 -0.01037 -0.00090
     0.10   -2.00    0.30 -0.00658 -0.00059
     0.10   -2.00    0.40 -0.00433 -0.00039
     0.10   -2.00    0.50 -0.00292 -0.00027
     0.10   -2.00    0.60 -0.00200 -0.00019
     0.10   -2.00    0.80 -0.00097 -0.00009
     0.10   -2.00    1.00 -0.00049 -0.00005
     0.10   -2.00    1.50 -0.00009 -0.00001
     0.10   -2.00    2.00 -0.00001 -0.00000
     0.10   -2.00    3.00  0.00000 -0.00000
     0.10    0.00    0.05  0.03844 -0.00453
     0.10    0.00    0.10  0.02537 -0.00323
     0.10    0.00    0.20  0.01502 -0.00184
     0.10    0.00    0.30  0.00958 -0.00114
     0.10    0.00    0.40  0.00631 -0.00074
     0.10    0.00    0.50  0.00425 -0.00050
     0.10    0.00    0.60  0.00291 -0.00034
     0.10    0.00    0.80  0.00140 -0.00017
     0.10    0.00    1.00  0.00070 -0.00009
     0.10    0.00    1.50  0.00012 -0.00002
     0.10    0.00    2.00  0.00001 -0.00001
     0.10    0.00    3.00  0.00000 -0.00000
     0.10    2.00    0.05  0.09493 -0.00831
     0.10    2.00    0.10  0.06423 -0.00571
     0.10    2.00    0.20  0.03865 -0.00306
     0.10    2.00    0.30  0.02476 -0.00183
     0.10    2.00    0.40  0.01633 -0.00116
     0.10    2.00    0.50  0.01099 -0.00077
     0.10    2.00    0.60  0.00750 -0.00052
     0.10    2.00    0.80  0.00360 -0.00026
     0.10    2.00    1.00  0.00176 -0.00014
     0.10    2.00    1.50  0.00028 -0.00003
     0.10    2.00    2.00  0.00001 -0.00001
     0.10    2.00    3.00  0.00000 -0.00000
     0.10    4.00    0.05  0.14197 -0.01340
     0.10    4.00    0.10  0.09881 -0.00897
     0.10    4.00    0.20  0.06050 -0.00462
     0.10    4.00    0.30  0.03895 -0.00268
     0.10    4.00    0.40  0.02573 -0.00167
     0.10    4.00    0.50  0.01730 -0.00110
     0.10    4.00    0.60  0.01178 -0.00075
     0.10    4.00    0.80  0.00560 -0.00037
     0.10    4.00    1.00  0.00270 -0.00020
     0.10    4.00    1.50  0.00038 -0.00005
     0.10    4.00    2.00  0.00000 -0.00002
     0.10    4.00    3.00  0.00000 -0.00000
     0.10    6.00    0.05  0.17954 -0.01996
     0.10    6.00    0.10  0.12911 -0.01314
     0.10    6.00    0.20  0.08059 -0.00657
     0.10    6.00    0.30  0.05216 -0.00374
     0.10    6.00    0.40  0.03449 -0.00231
     0.10    6.00    0.50  0.02317 -0.00151
     0.10    6.00    0.60  0.01574 -0.00102
     0.10    6.00    0.80  0.00742 -0.00051
     0.10    6.00    1.00  0.00352 -0.00028
     0.10    6.00    1.50  0.00043 -0.00008
     0.10    6.00    2.00  0.00000 -0.00003
     0.10    6.00    3.00  0.00000 -0.00000
     0.10    8.00    0.05  0.20766 -0.02816
     0.10    8.00    0.10  0.15512 -0.01830
     0.10    8.00    0.20  0.09891 -0.00896
     0.10    8.00    0.30  0.06438 -0.00504
     0.10    8.00    0.40  0.04263 -0.00309
     0.10    8.00    0.50  0.02861 -0.00201
     0.10    8.00    0.60  0.01939 -0.00137
     0.10    8.00    0.80  0.00905 -0.00070
     0.10    8.00    1.00  0.00422 -0.00039
     0.10    8.00    1.50  0.00042 -0.00013
     0.10    8.00    2.00  0.00000 -0.00004
     0.10    8.00    3.00  0.00000 -0.00000
     0.10   10.00    0.05  0.22633 -0.03815
     0.10   10.00    0.10  0.17685 -0.02457
     0.10   10.00    0.20  0.11546 -0.01187
     0.10   10.00    0.30  0.07562 -0.00661
     0.10   10.00    0.40  0.05014 -0.00404
     0.10   10.00    0.50  0.03362 -0.00263
     0.10   10.00    0.60  0.02273 -0.00179
     0.10   10.00    0.80  0.01049 -0.00093
     0.10   10.00    1.00  0.00479 -0.00053
     0.10   10.00    1.50  0.00035 -0.00018
     0.10   10.00    2.00  0.00000 -0.00005
     0.10   10.00    3.00  0.00000 -0.00000
     0.10   12.00    0.05  0.23553 -0.05009
     0.10   12.00    0.10  0.19429 -0.03205
     0.10   12.00    0.20  0.13024 -0.01534
     0.10   12.00    0.30  0.08587 -0.00850
     0.10   12.00    0.40  0.05703 -0.00518
     0.10   12.00    0.50  0.03820 -0.00337
     0.10   12.00    0.60  0.02575 -0.00231
     0.10   12.00    0.80  0.01175 -0.00121
     0.10   12.00    1.00  0.00524 -0.00070
     0.10   12.00    1.50  0.00023 -0.00025
     0.10   12.00    2.00  0.00000 -0.00006
     0.10   12.00    3.00  0.00000 -0.00000
     0.10   14.00    0.05  0.23528 -0.06412
     0.10   14.00    0.10  0.20745 -0.04084
     0.10   14.00    0.20  0.14326 -0.01943
     0.10   14.00    0.30  0.09513 -0.01073
     0.10   14.00    0.40  0.06329 -0.00653
     0.10   14.00    0.50  0.04235 -0.00427
     0.10   14.00    0.60  0.02845 -0.00293
     0.10   14.00    0.80  0.01282 -0.00155
     0.10   14.00    1.00  0.00556 -0.00092
     0.10   14.00    1.50  0.00005 -0.00034
     0.10   14.00    2.00  0.00000 -0.00008
     0.10   14.00    3.00  0.00000 -0.00000
     0.10   16.00    0.05  0.22557 -0.08039
     0.10   16.00    0.10  0.21633 -0.05104
     0.10   16.00    0.20  0.15450 -0.02419
     0.10   16.00    0.30  0.10341 -0.01335
     0.10   16.00    0.40  0.06892 -0.00813
     0.10   16.00    0.50  0.04606 -0.00532
     0.10   16.00    0.60  0.03084 -0.00367
     0.10   16.00    0.80  0.01371 -0.00197
     0.10   16.00    1.00  0.00577 -0.00118
     0.10   16.00    1.50  0.00000 -0.00043
     0.10   16.00    2.00  0.00000 -0.00010
     0.10   16.00    3.00  0.00000 -0.00000
     0.10   18.00    0.05  0.14509 -0.10285
     0.10   18.00    0.10  0.14509 -0.06982
     0.10   18.00    0.20  0.14509 -0.03208
     0.10   18.00    0.30  0.11071 -0.01638
     0.10   18.00    0.40  0.07392 -0.00999
     0.10   18.00    0.50  0.04934 -0.00655
     0.10   18.00    0.60  0.03292 -0.00454
     0.10   18.00    0.80  0.01440 -0.00246
     0.10   18.00    1.00  0.00584 -0.00149
     0.10   18.00    1.50  0.00000 -0.00051
     0.10   18.00    2.00  0.00000 -0.00011
     0.10   18.00    3.00  0.00000 -0.00000
     0.20   -2.00    0.05 -0.02796 -0.00183
     0.20   -2.00    0.10 -0.01803 -0.00140
     0.20   -2.00    0.20 -0.01052 -0.00088
     0.20   -2.00    0.30 -0.00668 -0.00058
     0.20   -2.00    0.40 -0.00439 -0.00039
     0.20   -2.00    0.50 -0.00296 -0.00026
     0.20   -2.00    0.60 -0.00203 -0.00018
     0.20   -2.00    0.80 -0.00099 -0.00009
     0.20   -2.00    1.00 -0.00050 -0.00005
     0.20   -2.00    1.50 -0.00009 -0.00001
     0.20   -2.00    2.00 -0.00002 -0.00000
     0.20   -2.00    3.00  0.00000 -0.00000
     0.20    0.00    0.05  0.03904 -0.00446
     0.20    0.00    0.10  0.02574 -0.00318
     0.20    0.00    0.20  0.01523 -0.00181
     0.20    0.00    0.30  0.00971 -0.00112
     0.20    0.00    0.40  0.00640 -0.00073
     0.20    0.00    0.50  0.00431 -0.00049
     0.20    0.00    0.60  0.00295 -0.00033
     0.20    0.00    0.80  0.00142 -0.00016
     0.20    0.00    1.00  0.00071 -0.00008
     0.20    0.00    1.50  0.00012 -0.00002
     0.20    0.00    2.00  0.00001 -0.00001
     0.20    0.00    3.00  0.00000 -0.00000
     0.20    2.00    0.05  0.09640 -0.00821
     0.20    2.00    0.10  0.06514 -0.00564
     0.20    2.00    0.20  0.03918 -0.00302
     0.20    2.00    0.30  0.02510 -0.00180
     0.20    2.00    0.40  0.01656 -0.00114
     0.20    2.00    0.50  0.01114 -0.00075
     0.20    2.00    0.60  0.00760 -0.00051
     0.20    2.00    0.80  0.00364 -0.00025
     0.20    2.00    1.00  0.00179 -0.00013
     0.20    2.00    1.50  0.00028 -0.00003
     0.20    2.00    2.00  0.00001 -0.00001
     0.20    2.00    3.00  0.00000 -0.00000
     0.20    4.00    0.05  0.14410 -0.01327
     0.20    4.00    0.10  0.10018 -0.00888
     0.20    4.00    0.20  0.06132 -0.00456
     0.20    4.00    0.30  0.03947 -0.00265
     0.20    4.00    0.40  0.02607 -0.00165
     0.20    4.00    0.50  0.01753 -0.00108
     0.20    4.00    0.60  0.01194 -0.00073
     0.20    4.00    0.80  0.00568 -0.00037
     0.20    4.00    1.00  0.00274 -0.00020
     0.20    4.00    1.50  0.00039 -0.00005
     0.20    4.00    2.00  0.00000 -0.00002
     0.20    4.00    3.00  0.00000 -0.00000
     0.20    6.00    0.05  0.18216 -0.01981
     0.20    6.00    0.10  0.13084 -0.01303
     0.20    6.00    0.20  0.08165 -0.00650
     0.20    6.00    0.30  0.05285 -0.00370
     0.20    6.00    0.40  0.03495 -0.00228
     0.20    6.00    0.50  0.02348 -0.00149
     0.20    6.00    0.60  0.01595 -0.00101
     0.20    6.00    0.80  0.00751 -0.00051
     0.20    6.00    1.00  0.00356 -0.00028
     0.20    6.00    1.50  0.00043 -0.00008
     0.20    6.00    2.00  0.00000 -0.00003
     0.20    6.00    3.00  0.00000 -0.00000
     0.20    8.00    0.05  0.21057 -0.02799
     0.20    8.00    0.10  0.15713 -0.01818
     0.20    8.00    0.20  0.10019 -0.00889
     0.20    8.00    0.30  0.06521 -0.00499
     0.20    8.00    0.40  0.04318 -0.00305
     0.20    8.00    0.50  0.02898 -0.00199
     0.20    8.00    0.60  0.01964 -0.00135
     0.20    8.00    0.80  0.00916 -0.00069
     0.20    8.00    1.00  0.00427 -0.00039
     0.20    8.00    1.50  0.00042 -0.00012
     0.20    8.00    2.00  0.00000 -0.00004
     0.20    8.00    3.00  0.00000 -0.00000
     0.20   10.00    0.05  0.22933 -0.03797
     0.20   10.00    0.10  0.17906 -0.02444
     0.20   10.00    0.20  0.11692 -0.01178
     0.20   10.00    0.30  0.07657 -0.00655
     0.20   10.00    0.40  0.05078 -0.00400
     0.20   10.00    0.50  0.03405 -0.00260
     0.20   10.00    0.60  0.02301 -0.00178
     0.20   10.00    0.80  0.01062 -0.00092
     0.20   10.00    1.00  0.00484 -0.00053
     0.20   10.00    1.50  0.00035 -0.00018
