#
#  Clean / Free Air Aerodynamics
#  Copy of GASP_aero_free.txt with alpha above 10 removed
#  Reference Area = 1370. sqft
#  Altitude  Mach   ALPHA   CLTOT     CD
#    (ft)     (-)   (deg)    (-)     (-)
#
  3000.0    0.85     4.0  0.6396  0.04140
  3000.0    0.85     6.0  0.8855  0.06878
  3000.0    0.85     8.0  1.1315  0.10849
  3000.0    0.85    10.0  1.3775  0.16229
  3000.0    0.90    -2.0 -0.1047  0.01724
  3000.0    0.90     0.0  0.1571  0.02352
  3000.0    0.90     2.0  0.4188  0.04102
  3000.0    0.90     4.0  0.6806  0.07188
  3000.0    0.90     6.0  0.9424  0.11826
  3000.0    0.90     8.0  1.2041  0.18231
  3000.0    0.90    10.0  1.4659  0.26617
  6000.0    0.00    -2.0 -0.0715  0.00363
  6000.0    0.00     0.0  0.1072  0.00384
  6000.0    0.00     2.0  0.2860  0.00621
  6000.0    0.00     4.0  0.4647  0.01072
  6000.0    0.00     6.0  0.6434  0.01737
  6000.0    0.00     8.0  0.8222  0.02618
  6000.0    0.00    10.0  1.0009  0.03713
  6000.0    0.20    -2.0 -0.0724  0.01878
  6000.0    0.20     0.0  0.1086  0.01904
  6000.0    0.20     2.0  0.2896  0.02190
  6000.0    0.20     4.0  0.4706  0.02735
  6000.0    0.20     6.0  0.6517  0.03540
  6000.0    0.20     8.0  0.8327  0.04605
  6000.0    0.20    10.0  1.0137  0.05930
  6000.0    0.40    -2.0 -0.0754  0.01720
  6000.0    0.40     0.0  0.1131  0.01748
  6000.0    0.40     2.0  0.3016  0.02053
  6000.0    0.40     4.0  0.4901  0.02634
  6000.0    0.40     6.0  0.6786  0.03493
  6000.0    0.40     8.0  0.8670  0.04628
  6000.0    0.40    10.0  1.0555  0.06040
  6000.0    0.50    -2.0 -0.0779  0.01669
  6000.0    0.50     0.0  0.1169  0.01699
  6000.0    0.50     2.0  0.3117  0.02022
  6000.0    0.50     4.0  0.5065  0.02640
  6000.0    0.50     6.0  0.7013  0.03551
  6000.0    0.50     8.0  0.8961  0.04757
  6000.0    0.50    10.0  1.0909  0.06256
  6000.0    0.60    -2.0 -0.0814  0.01626
  6000.0    0.60     0.0  0.1221  0.01658
  6000.0    0.60     2.0  0.3257  0.02010
  6000.0    0.60     4.0  0.5293  0.02680
  6000.0    0.60     6.0  0.7329  0.03671
  6000.0    0.60     8.0  0.9365  0.04980
  6000.0    0.60    10.0  1.1401  0.06609
  6000.0    0.70    -2.0 -0.0863  0.01589
  6000.0    0.70     0.0  0.1295  0.01625
  6000.0    0.70     2.0  0.3454  0.02018
  6000.0    0.70     4.0  0.5613  0.02768
  6000.0    0.70     6.0  0.7771  0.03876
  6000.0    0.70     8.0  0.9930  0.05342
  6000.0    0.70    10.0  1.2089  0.07179
  6000.0    0.75    -2.0 -0.0896  0.01572
  6000.0    0.75     0.0  0.1343  0.01610
  6000.0    0.75     2.0  0.3582  0.02032
  6000.0    0.75     4.0  0.5822  0.02838
  6000.0    0.75     6.0  0.8061  0.04041
  6000.0    0.75     8.0  1.0300  0.05742
  6000.0    0.75    10.0  1.2539  0.08075
  6000.0    0.80    -2.0 -0.0935  0.01556
  6000.0    0.80     0.0  0.1402  0.01598
  6000.0    0.80     2.0  0.3740  0.02064
  6000.0    0.80     4.0  0.6077  0.03050
  6000.0    0.80     6.0  0.8414  0.04707
  6000.0    0.80     8.0  1.0751  0.07189
  6000.0    0.80    10.0  1.3089  0.10649
  6000.0    0.85    -2.0 -0.0984  0.01543
  6000.0    0.85     0.0  0.1476  0.01657
  6000.0    0.85     2.0  0.3936  0.02468
  6000.0    0.85     4.0  0.6396  0.04155
  6000.0    0.85     6.0  0.8855  0.06896
  6000.0    0.85     8.0  1.1315  0.10869
  6000.0    0.85    10.0  1.3775  0.16253
  6000.0    0.90    -2.0 -0.1047  0.01737
  6000.0    0.90     0.0  0.1571  0.02365
  6000.0    0.90     2.0  0.4188  0.04116
  6000.0    0.90     4.0  0.6806  0.07204
  6000.0    0.90     6.0  0.9424  0.11844
  6000.0    0.90     8.0  1.2041  0.18252
  6000.0    0.90    10.0  1.4659  0.26642
  9000.0    0.00    -2.0 -0.0715  0.00363
  9000.0    0.00     0.0  0.1072  0.00384
  9000.0    0.00     2.0  0.2860  0.00621
  9000.0    0.00     4.0  0.4647  0.01072
  9000.0    0.00     6.0  0.6434  0.01737
  9000.0    0.00     8.0  0.8222  0.02618
  9000.0    0.00    10.0  1.0009  0.03713
  9000.0    0.20    -2.0 -0.0724  0.01898
  9000.0    0.20     0.0  0.1086  0.01924
  9000.0    0.20     2.0  0.2896  0.02210
  9000.0    0.20     4.0  0.4706  0.02756
  9000.0    0.20     6.0  0.6517  0.03563
  9000.0    0.20     8.0  0.8327  0.04630
  9000.0    0.20    10.0  1.0137  0.05958
  9000.0    0.40    -2.0 -0.0754  0.01737
  9000.0    0.40     0.0  0.1131  0.01765
  9000.0    0.40     2.0  0.3016  0.02070
  9000.0    0.40     4.0  0.4901  0.02653
  9000.0    0.40     6.0  0.6786  0.03512
  9000.0    0.40     8.0  0.8670  0.04650
  9000.0    0.40    10.0  1.0555  0.06064
  9000.0    0.50    -2.0 -0.0779  0.01685
  9000.0    0.50     0.0  0.1169  0.01715
  9000.0    0.50     2.0  0.3117  0.02039
  9000.0    0.50     4.0  0.5065  0.02657
  9000.0    0.50     6.0  0.7013  0.03570
  9000.0    0.50     8.0  0.8961  0.04778
  9000.0    0.50    10.0  1.0909  0.06280
  9000.0    0.60    -2.0 -0.0814  0.01641
  9000.0    0.60     0.0  0.1221  0.01673
  9000.0    0.60     2.0  0.3257  0.02025
  9000.0    0.60     4.0  0.5293  0.02697
  9000.0    0.60     6.0  0.7329  0.03689
  9000.0    0.60     8.0  0.9365  0.05001
  9000.0    0.60    10.0  1.1401  0.06632
  9000.0    0.70    -2.0 -0.0863  0.01603
  9000.0    0.70     0.0  0.1295  0.01639
  9000.0    0.70     2.0  0.3454  0.02033
  9000.0    0.70     4.0  0.5613  0.02785
  9000.0    0.70     6.0  0.7771  0.03894
  9000.0    0.70     8.0  0.9930  0.05362
  9000.0    0.70    10.0  1.2089  0.07202
  9000.0    0.75    -2.0 -0.0896  0.01586
  9000.0    0.75     0.0  0.1343  0.01625
  9000.0    0.75     2.0  0.3582  0.02047
  9000.0    0.75     4.0  0.5822  0.02854
  9000.0    0.75     6.0  0.8061  0.04059
  9000.0    0.75     8.0  1.0300  0.05762
  9000.0    0.75    10.0  1.2539  0.08098
  9000.0    0.80    -2.0 -0.0935  0.01570
  9000.0    0.80     0.0  0.1402  0.01612
  9000.0    0.80     2.0  0.3740  0.02079
  9000.0    0.80     4.0  0.6077  0.03066
  9000.0    0.80     6.0  0.8414  0.04725
  9000.0    0.80     8.0  1.0751  0.07210
  9000.0    0.80    10.0  1.3089  0.10672
  9000.0    0.85    -2.0 -0.0984  0.01557
  9000.0    0.85     0.0  0.1476  0.01671
  9000.0    0.85     2.0  0.3936  0.02483
  9000.0    0.85     4.0  0.6396  0.04171
  9000.0    0.85     6.0  0.8855  0.06914
  9000.0    0.85     8.0  1.1315  0.10890
  9000.0    0.85    10.0  1.3775  0.16277
  9000.0    0.90    -2.0 -0.1047  0.01751
  9000.0    0.90     0.0  0.1571  0.02379
  9000.0    0.90     2.0  0.4188  0.04130
  9000.0    0.90     4.0  0.6806  0.07220
  9000.0    0.90     6.0  0.9424  0.11862
  9000.0    0.90     8.0  1.2041  0.18273
  9000.0    0.90    10.0  1.4659  0.26667
 12000.0    0.00    -2.0 -0.0715  0.00363
 12000.0    0.00     0.0  0.1072  0.00384
 12000.0    0.00     2.0  0.2860  0.00621
 12000.0    0.00     4.0  0.4647  0.01072
 12000.0    0.00     6.0  0.6434  0.01737
 12000.0    0.00     8.0  0.8222  0.02618
