# created 02/20/24 at 16:54 by crecine
# GASP_TP-derived engine deck converted from PT6A-50.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

        Mach_Number, Altitude (ft),   Throttle, SHAFT_POWER_CORRECTED (hp), TAILPIPE_THRUST (lbf),   Fuel_Flow (lb/h)
                0.0,           0.0,       20.0,         111.99999999999997,    37.699999999999996, 195.79999999999995
               0.05,           0.0,       20.0,                  111.76875,              28.06875, 195.18125000000003
                0.1,           0.0,       20.0,         111.10000000000001,    18.400000000000013, 193.30000000000007
0.15000000000000002,           0.0,       20.0,                  110.00625,     8.756250000000017,  190.2187500000001
                0.2,           0.0,       20.0,         108.49999999999996,   -0.7999999999999651,  186.0000000000001
               0.25,           0.0,       20.0,                   106.5875,   -10.212499999999979, 180.69999999999982
0.30000000000000004,           0.0,       20.0,         104.30000000000004,   -19.400000000000006, 174.40000000000003
0.35000000000000003,           0.0,       20.0,         101.65000000000005,   -28.281249999999993, 167.13750000000002
                0.4,           0.0,       20.0,          98.70000000000009,   -36.799999999999976, 159.10000000000002
               0.45,           0.0,       20.0,           95.5000000000001,    -44.89374999999997, 150.43750000000006
                0.5,           0.0,       20.0,          92.10000000000011,   -52.499999999999964, 141.30000000000007
               0.55,           0.0,       20.0,          88.55000000000007,    -59.55624999999999, 131.83750000000006
 0.6000000000000001,           0.0,       20.0,                       84.9,    -66.00000000000001,  122.2000000000001
                0.0,           0.0,       20.5,         128.86454128494907,     39.48771569318648, 204.63188886554184
               0.05,           0.0,       20.5,          128.5984705244835,    29.701051845499954,  203.9826958166225
                0.1,           0.0,       20.5,          127.8290226496236,    19.856452026724426, 202.02102552421815
0.15000000000000002,           0.0,       20.5,         126.57057986363776,    10.025010369184935, 198.81718111097925
                0.2,           0.0,       20.5,         124.83752436979434,   0.27782100520655184, 194.44146569955598
               0.25,           0.0,       20.5,         122.63521932390347,     -9.31982217060433, 188.95565470449262
0.30000000000000004,           0.0,       20.5,          120.0051040716089,    -18.67942431276675, 182.45563437275814
0.35000000000000003,           0.0,       20.5,         116.97070054530124,    -27.70039064378536,  175.0072774169252
                0.4,           0.0,       20.5,         113.59112414055171,    -36.35372706509665, 166.76239985472023
               0.45,           0.0,       20.5,         109.91659188713648,    -44.59253930840417, 157.85133187758078
                0.5,           0.0,       20.5,         105.99732081483161,    -52.36993310541143, 148.40440367694475
               0.55,           0.0,       20.5,         101.88352795341319,    -59.63901418782197, 138.55194544424987
 0.6000000000000001,           0.0,       20.5,          97.62543033265737,     -66.3528882873393, 128.42428737093422
                0.0,           0.0,       21.0,         145.70870111149316,    41.251967771576275, 213.29888944102154
               0.05,           0.0,       21.0,          145.4078516728143,    31.309698494538154, 212.62155556674057
                0.1,           0.0,       21.0,         144.53782762041874,    21.294607920186234, 210.58556471804587
0.15000000000000002,           0.0,       21.0,         143.11489108612676,    11.284346504325141, 207.26726444751247
                0.2,           0.0,       21.0,         141.15530420175895,     1.356564702759509, 202.74300230771547
               0.25,           0.0,       21.0,         138.66392201920596,    -8.416199459290793, 197.07846226779367
0.30000000000000004,           0.0,       21.0,         135.69122791007808,    -17.94095823426692, 190.38198263063015
0.35000000000000003,           0.0,       21.0,         132.26986407629673,   -27.103599553445882,  182.7426664038411
                0.4,           0.0,       21.0,         128.45820907882387,     -35.8949583550998, 174.28390344235572
               0.45,           0.0,       21.0,         124.30820738886133,    -44.27963282575209, 165.12051188927524
                0.5,           0.0,       21.0,         119.87180347761107,   -52.222221151926014, 155.36730988770083
               0.55,           0.0,       21.0,         115.20094181627488,    -59.68732152014497, 145.13911558073355
 0.6000000000000001,           0.0,       21.0,          110.3475668760546,    -66.63953211693229, 134.55074711147446
                0.0,           0.0,       21.5,         162.53474408612178,    42.993987614948004, 221.81081839117667
               0.05,           0.0,       21.5,         162.19915337567613,     32.89638814923541,  221.1075386243046
                0.1,           0.0,       21.5,         161.22866132114405,    22.716000333705978, 219.00275082033386
0.15000000000000002,           0.0,       21.5,         159.64140796092798,    12.535203929179234, 215.57729931216582
                0.2,           0.0,       21.5,         157.45553333343042,    2.4363786964747356, 210.91202843270136
               0.25,           0.0,       21.5,         154.67572104464085,    -7.502324264438584,  205.0751247624788
0.30000000000000004,           0.0,       21.5,           151.360480430201,    -17.18583921018937, 198.18540589148714
0.35000000000000003,           0.0,       21.5,         147.54988359457604,   -26.491732401444715, 190.35054810404827
                0.4,           0.0,       21.5,           143.303925837292,    -35.42395672611983, 181.67216189768865
               0.45,           0.0,       21.5,         138.67762165910932,     -43.9548684153179, 172.25337421663335
                0.5,           0.0,       21.5,          133.7259855607887,    -52.05682370014208, 162.19731200510782
               0.55,           0.0,       21.5,         128.50403204309066,    -59.70217881169558, 151.60710220733722
 0.6000000000000001,           0.0,       21.5,         123.06677560677612,    -66.86328998108156, 140.58587176754708
                0.0,           0.0,       22.0,         179.34493481532428,    44.715006603080305, 230.17749238074498
               0.05,           0.0,       22.0,         178.97463556375254,     34.46281901171256,  229.4503543632648
                0.1,           0.0,       22.0,         177.90377016055834,    24.122161920604178, 227.28171706993288
0.15000000000000002,           0.0,       22.0,          176.1523547815024,    13.778528167505797,  223.7555850075051
                0.2,           0.0,       22.0,         173.74040560234536,     3.517410590168061, 218.95596268273675
