# created 04/22/25
# FLOPS-derived engine deck converted from turbofan_28_ENGDEK

Mach Number, Altitude (ft),   Throttle, Gross Thrust (lbf), Ram Drag (lbf), Fuel Flow (lb/h), NOx Rate (lb/h)
        0.1,       10000.0,       30.0,             8200.9,         1569.4,           2059.1,          10.942
        0.1,       10000.0,       34.0,            11104.9,         1820.8,           2841.8,          14.099
        0.1,       10000.0,       38.0,            13974.0,         2037.3,           3665.3,          16.569
        0.1,       10000.0,       42.0,            16818.6,         2229.1,           4548.6,            18.8
        0.1,       10000.0,       46.0,            19643.6,         2401.3,           5515.6,          21.945
        0.1,       10000.0,       48.0,            21049.0,         2480.6,           6042.3,          33.273
        0.1,       10000.0,       50.0,            22450.7,         2556.3,           6592.6,           50.98
        0.2,           0.0,       21.0,             3984.0,         2660.5,            927.8,            4.88
        0.2,           0.0,       22.0,             5132.8,         3015.2,           1158.3,          6.0773
        0.2,           0.0,       24.0,             7290.5,         3584.8,           1655.7,          8.2264
        0.2,           0.0,       26.0,             9344.4,         4050.6,           2168.2,          10.048
        0.2,           0.0,       30.0,            13714.4,         4891.5,           3335.6,          14.183
        0.2,           0.0,       34.0,            17928.1,         5575.9,           4564.4,          17.136
        0.2,           0.0,       38.0,            22048.5,         6167.1,           5839.6,          19.652
        0.2,           0.0,       42.0,            26104.0,         6693.4,           7176.2,          31.254
        0.2,           0.0,       46.0,            30105.5,         7165.7,           8625.1,          60.801
        0.2,           0.0,       48.0,            32088.4,         7383.6,           9408.5,          71.454
        0.2,           0.0,       50.0,            34059.1,         7590.1,          10231.7,          78.754
        0.2,        2000.0,       21.0,             3705.8,         2475.9,            844.5,          4.8026
        0.2,        2000.0,       22.0,             4773.5,         2805.8,           1055.1,          5.8928
        0.2,        2000.0,       24.0,             6779.2,         3335.6,           1509.9,          8.0591
        0.2,        2000.0,       26.0,             8688.2,         3768.8,           1978.1,          9.8731
        0.2,        2000.0,       30.0,            12750.0,         4551.0,           3045.6,          14.013
        0.2,        2000.0,       34.0,            16665.9,         5187.3,           4175.2,          16.989
        0.2,        2000.0,       38.0,            20495.5,         5737.3,           5341.9,          19.504
        0.2,        2000.0,       42.0,            24264.1,         6226.1,           6575.1,          28.173
        0.2,        2000.0,       46.0,            27981.8,         6663.9,           7924.2,          59.521
        0.2,        2000.0,       48.0,            29823.9,         6866.3,           8646.0,          70.578
        0.2,        2000.0,       50.0,            31655.3,         7058.3,           9403.9,          78.279
        0.2,        5000.0,       21.0,             3315.0,         2214.7,            755.5,           6.435
        0.2,        5000.0,       22.0,             4270.4,         2510.0,            941.0,           5.268
