# created 04/22/25
# GASP_TS-derived engine deck converted from MAPS_1120hp.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

Mach Number, Altitude (ft),   Throttle, Shaft Power Corrected (hp), Fuel Flow (lb/h)
       0.45,           0.0,       36.0,                    554.199,          353.058
        0.5,           0.0,       36.0,                    534.381,          335.515
       0.55,           0.0,       36.0,                    513.392,          317.006
        0.6,           0.0,       36.0,                    491.419,          297.686
        0.0,           0.0,       38.0,                    716.881,          468.889
       0.05,           0.0,       38.0,                    715.466,          467.608
        0.1,           0.0,       38.0,                    711.175,          463.745
       0.15,           0.0,       38.0,                    704.123,          457.426
        0.2,           0.0,       38.0,                    694.423,          448.778
       0.25,           0.0,       38.0,                    682.155,          437.869
        0.3,           0.0,       38.0,                     667.54,          424.996
       0.35,           0.0,       38.0,                    650.734,          410.408
        0.4,           0.0,       38.0,                    632.007,          394.307
       0.45,           0.0,       38.0,                    611.603,           376.91
        0.5,           0.0,       38.0,                    589.762,          358.431
       0.55,           0.0,       38.0,                    566.729,          339.084
        0.6,           0.0,       38.0,                    542.744,          319.085
        0.0,           0.0,       40.0,                      784.0,            497.7
       0.05,           0.0,       40.0,                      782.5,          496.344
        0.1,           0.0,       40.0,                      777.8,            492.3
       0.15,           0.0,       40.0,                     770.05,          485.681
        0.2,           0.0,       40.0,                      759.4,            476.6
       0.25,           0.0,       40.0,                    745.975,          465.094
        0.3,           0.0,       40.0,                      730.0,            451.5
       0.35,           0.0,       40.0,                     711.65,            436.1
        0.4,           0.0,       40.0,                      691.2,            419.1
       0.45,           0.0,       40.0,                      668.9,          400.725
        0.5,           0.0,       40.0,                      645.0,            381.2
       0.55,           0.0,       40.0,                     619.75,           360.75
        0.6,           0.0,       40.0,                      593.4,            339.6
        0.0,           0.0,       42.0,                    851.127,          526.592
       0.05,           0.0,       42.0,                    849.439,          525.133
        0.1,           0.0,       42.0,                    844.346,          520.851
       0.15,           0.0,       42.0,                     835.98,          513.868
        0.2,           0.0,       42.0,                    824.471,          504.308
       0.25,           0.0,       42.0,                    809.905,          492.233
        0.3,           0.0,       42.0,                    792.554,          477.955
       0.35,           0.0,       42.0,                    772.614,          461.722
        0.4,           0.0,       42.0,                    750.397,           443.79
       0.45,           0.0,       42.0,                    726.186,          424.413
        0.5,           0.0,       42.0,                    700.263,          403.846
       0.55,           0.0,       42.0,                    672.911,          382.341
        0.6,           0.0,       42.0,                    644.412,          360.154
        0.0,           0.0,       44.0,                    918.489,          555.522
       0.05,           0.0,       44.0,                    916.688,          553.979
        0.1,           0.0,       44.0,                    911.189,          549.503
       0.15,           0.0,       44.0,                    902.143,          542.197
        0.2,           0.0,       44.0,                    889.705,          532.166
       0.25,           0.0,       44.0,                    873.986,          519.407
        0.3,           0.0,       44.0,                    855.262,          504.345
       0.35,           0.0,       44.0,                    833.723,          487.345
        0.4,           0.0,       44.0,                    809.732,          468.584
       0.45,           0.0,       44.0,                    783.609,          448.286
        0.5,           0.0,       44.0,                    755.674,          426.674
       0.55,           0.0,       44.0,                    726.246,          403.974
        0.6,           0.0,       44.0,                    695.646,          380.408
        0.0,           0.0,       46.0,                    985.511,          584.447
       0.05,           0.0,       46.0,                    983.565,          582.834
        0.1,           0.0,       46.0,                    977.666,          578.128
       0.15,           0.0,       46.0,                    967.972,          570.457
        0.2,           0.0,       46.0,                     954.64,          559.954
       0.25,           0.0,       46.0,                    937.774,          546.661
        0.3,           0.0,       46.0,                    917.683,          530.968
       0.35,           0.0,       46.0,                    894.593,          513.202
        0.4,           0.0,       46.0,                    868.862,          493.591
       0.45,           0.0,       46.0,                    840.816,          472.388
        0.5,           0.0,       46.0,                    810.781,          449.846
       0.55,           0.0,       46.0,                    779.083,          426.217
        0.6,           0.0,       46.0,                    746.048,          401.755
        0.0,           0.0,       48.0,                    1052.87,          614.241
       0.05,           0.0,       48.0,                    1050.87,          612.542
        0.1,           0.0,       48.0,                    1044.56,          607.595
       0.15,           0.0,       48.0,                    1034.14,          599.542
        0.2,           0.0,       48.0,                    1019.83,          588.526
       0.25,           0.0,       48.0,                    1001.79,          574.597
        0.3,           0.0,       48.0,                    980.343,          558.175
       0.35,           0.0,       48.0,                    955.726,          539.631
        0.4,           0.0,       48.0,                    928.289,          519.161
       0.45,           0.0,       48.0,                    898.354,          497.005
        0.5,           0.0,       48.0,                    866.245,          473.402
       0.55,           0.0,       48.0,                    832.283,          448.593
        0.6,           0.0,       48.0,                    796.791,          422.816
        0.0,           0.0,       50.0,                     1120.0,            644.0
       0.05,           0.0,       50.0,                    1117.81,          642.281
        0.1,           0.0,       50.0,                     1111.1,            637.2
       0.15,           0.0,       50.0,                    1100.07,          628.869
        0.2,           0.0,       50.0,                     1084.9,            617.4
       0.25,           0.0,       50.0,                    1065.73,          602.762
        0.3,           0.0,       50.0,                     1042.9,            585.5
       0.35,           0.0,       50.0,                    1016.65,          566.094
        0.4,           0.0,       50.0,                      987.4,            544.7
       0.45,           0.0,       50.0,                    955.525,          521.556
        0.5,           0.0,       50.0,                      921.4,            496.9
       0.55,           0.0,       50.0,                      885.4,          470.969
        0.6,           0.0,       50.0,                      847.9,            444.0
        0.0,        1500.0,       20.0,                       95.7,            187.4
       0.05,        1500.0,       20.0,                    95.4674,          186.781
        0.1,        1500.0,       20.0,                       94.9,            184.9
       0.15,        1500.0,       20.0,                     93.989,          181.838
        0.2,        1500.0,       20.0,                    92.7253,          177.677
       0.25,        1500.0,       20.0,                       91.1,            172.5
        0.3,        1500.0,       20.0,                    89.0799,          166.387
       0.35,        1500.0,       20.0,                    86.8431,          159.419
        0.4,        1500.0,       20.0,                       84.4,            151.7
       0.45,        1500.0,       20.0,                    81.6979,          143.354
        0.5,        1500.0,       20.0,                       78.7,            134.5
       0.55,        1500.0,       20.0,                    75.3693,          125.257
        0.6,        1500.0,       20.0,                    71.6689,          115.744
        0.0,        1500.0,       22.0,                    153.244,          216.562
       0.05,        1500.0,       22.0,                    152.965,          215.965
        0.1,        1500.0,       22.0,                     152.04,          213.922
       0.15,        1500.0,       22.0,                    150.511,          210.539
        0.2,        1500.0,       22.0,                    148.416,          205.924
       0.25,        1500.0,       22.0,                    145.795,          200.182
        0.3,        1500.0,       22.0,                    142.693,           193.43
       0.35,        1500.0,       22.0,                    139.099,          185.693
        0.4,        1500.0,       22.0,                    135.072,          177.096
       0.45,        1500.0,       22.0,                    130.709,          167.813
        0.5,        1500.0,       22.0,                    126.099,          158.003
       0.55,        1500.0,       22.0,                    121.331,          147.829
        0.6,        1500.0,       22.0,                    116.491,           137.45
        0.0,        1500.0,       24.0,                    210.602,           244.57
       0.05,        1500.0,       24.0,                    210.212,          243.902
        0.1,        1500.0,       24.0,                    208.946,          241.676
       0.15,        1500.0,       24.0,                    206.853,          237.992
        0.2,        1500.0,       24.0,                     203.98,           232.95
       0.25,        1500.0,       24.0,                    200.377,           226.65
        0.3,        1500.0,       24.0,                    196.095,          219.184
       0.35,        1500.0,       24.0,                    191.153,          210.687
        0.4,        1500.0,       24.0,                     185.63,          201.293
       0.45,        1500.0,       24.0,                    179.642,          191.147
        0.5,        1500.0,       24.0,                    173.296,          180.392
       0.55,        1500.0,       24.0,                    166.697,          169.173
        0.6,        1500.0,       24.0,                    159.953,          157.631
        0.0,        1500.0,       26.0,                    267.898,          271.677
       0.05,        1500.0,       26.0,                    267.367,          270.898
        0.1,        1500.0,       26.0,                    265.762,          268.479
       0.15,        1500.0,       26.0,                    263.125,            264.5
        0.2,        1500.0,       26.0,                    259.498,          259.045
       0.25,        1500.0,       26.0,                    254.923,          252.197
        0.3,        1500.0,       26.0,                    249.426,           244.01
       0.35,        1500.0,       26.0,                    243.144,          234.774
        0.4,        1500.0,       26.0,                    236.162,          224.621
       0.45,        1500.0,       26.0,                    228.558,           213.64
        0.5,        1500.0,       26.0,                    220.412,           201.93
       0.55,        1500.0,       26.0,                    211.804,          189.589
        0.6,        1500.0,       26.0,                    202.812,          176.717
        0.0,        1500.0,       28.0,                    325.304,           298.13
       0.05,        1500.0,       28.0,                    324.641,          297.278
        0.1,        1500.0,       28.0,                    322.679,          294.664
       0.15,        1500.0,       28.0,                    319.472,          290.377
        0.2,        1500.0,       28.0,                    315.071,          284.504
       0.25,        1500.0,       28.0,                    309.529,          277.132
        0.3,        1500.0,       28.0,                    302.883,          268.316
       0.35,        1500.0,       28.0,                    295.275,          258.389
        0.4,        1500.0,       28.0,                    286.799,          247.472
       0.45,        1500.0,       28.0,                    277.549,          235.613
        0.5,        1500.0,       28.0,                    267.618,          222.879
