# created 04/22/25
# GASP_TS-derived engine deck converted from MAPS_1120hp.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

Mach Number, Altitude (ft),   Throttle, Shaft Power Corrected (hp), Tailpipe Thrust (lbf), Fuel Flow (lb/h)
        0.6,           0.0,       32.0,                    390.026,              -63.6842,          256.517
        0.0,           0.0,       34.0,                    582.446,               83.2393,          410.785
       0.05,           0.0,       34.0,                    581.374,               70.2159,          409.615
        0.1,           0.0,       34.0,                    577.875,               56.9797,          406.207
       0.15,           0.0,       34.0,                    572.085,               43.6586,          400.646
        0.2,           0.0,       34.0,                    564.136,               30.3804,          393.014
       0.25,           0.0,       34.0,                    554.155,               17.2893,          383.325
        0.3,           0.0,       34.0,                    542.294,               4.46426,          371.873
       0.35,           0.0,       34.0,                    528.681,              -7.97947,          358.904
        0.4,           0.0,       34.0,                    513.507,               -20.006,           344.57
       0.45,           0.0,       34.0,                     496.95,              -31.5595,          329.051
        0.5,           0.0,       34.0,                    479.184,              -42.5842,          312.521
       0.55,           0.0,       34.0,                    460.387,              -53.0245,          295.158
        0.6,           0.0,       34.0,                    440.735,              -62.8245,          277.139
        0.0,           0.0,       36.0,                    649.488,               89.6416,           439.68
       0.05,           0.0,       36.0,                    648.278,               76.2396,          438.495
        0.1,           0.0,       36.0,                    644.379,               62.6084,          434.871
       0.15,           0.0,       36.0,                    637.934,               48.8759,          428.925
        0.2,           0.0,       36.0,                    629.082,               35.1697,          420.772
       0.25,           0.0,       36.0,                    617.952,               21.6254,          410.464
        0.3,           0.0,       36.0,                    604.726,               8.34796,          398.314
       0.35,           0.0,       36.0,                     589.56,              -4.52037,          384.614
        0.4,           0.0,       36.0,                    572.655,              -16.9551,          369.476
       0.45,           0.0,       36.0,                    554.199,              -28.9024,          353.058
        0.5,           0.0,       36.0,                    534.381,              -40.3084,          335.515
       0.55,           0.0,       36.0,                    513.392,               -51.119,          317.006
        0.6,           0.0,       36.0,                    491.419,              -61.2806,          297.686
        0.0,           0.0,       38.0,                    716.881,                96.127,          468.889
       0.05,           0.0,       38.0,                    715.466,                82.291,          467.608
        0.1,           0.0,       38.0,                    711.175,               68.2613,          463.745
       0.15,           0.0,       38.0,                    704.123,               54.1524,          457.426
        0.2,           0.0,       38.0,                    694.423,               40.0788,          448.778
       0.25,           0.0,       38.0,                    682.155,               26.1661,          437.869
